Company Id,Upline station,Arrival Station,Scheduled Arvl Datetime,Sch Arv Date,Sch Arv Time,Gate,Departure Station,Downline Arrival Station,Scheduled Dept Datetime,Sch Dept Date,Sch Dept Time,Fleet,Tail Number
YV,IAD,RIC,2019-06-01 18:09:00,2019-06-01,18:09:00,B4,RIC,IAD,2019-06-01 20:30:00,2019-06-01,20:30:00,ERJ-175,N88301
EV,EWR,RIC,2019-05-31 21:33:00,2019-05-31,21:33:00,B4,RIC,EWR,2019-06-02 10:15:00,2019-06-02,10:15:00,ERJ-145,N11539
OO,DEN,RIC,2019-05-31 23:19:00,2019-05-31,23:19:00,B1,RIC,DEN,2019-06-01 06:25:00,2019-06-01,06:25:00,ERJ-175,N166SY
ZW,IAD,RIC,2019-05-31 22:58:00,2019-05-31,22:58:00,B7,RIC,IAD,2019-06-01 06:45:00,2019-06-01,06:45:00,CRJ-200,N430AW
YV,IAH,RIC,2019-05-31 22:37:00,2019-05-31,22:37:00,B2,RIC,IAH,2019-06-01 06:05:00,2019-06-01,06:05:00,ERJ-175,N88341
EV,EWR,RIC,2019-05-28 16:40:00,2019-05-28,16:40:00,B4,RIC,EWR,2019-06-15 09:30:00,2019-06-15,09:30:00,ERJ-145,N13538
YV,IAH,RIC,2019-06-02 15:52:00,2019-06-02,15:52:00,B3,RIC,IAH,2019-06-02 16:30:00,2019-06-02,16:30:00,ERJ-175,N88328
EV,EWR,RIC,2019-06-01 16:35:00,2019-06-01,16:35:00,B3,RIC,ORD,2019-06-04 17:15:00,2019-06-04,17:15:00,ERJ-145,N13979
C5,IAD,RIC,2019-06-02 09:39:00,2019-06-02,09:39:00,B1,RIC,IAD,2019-06-02 10:45:00,2019-06-02,10:45:00,ERJ-145,N13202
ZW,ORD,RIC,2019-06-01 15:04:00,2019-06-01,15:04:00,B1,RIC,IAD,2019-06-01 15:35:00,2019-06-01,15:35:00,CRJ-200,N456ZW
C5,EWR,RIC,2019-06-03 15:30:00,2019-06-03,15:30:00,B2,RIC,EWR,2019-06-03 16:20:00,2019-06-03,16:20:00,ERJ-145,N12160
C5,EWR,RIC,2019-06-01 15:31:00,2019-06-01,15:31:00,B4,RIC,EWR,2019-06-01 16:20:00,2019-06-01,16:20:00,ERJ-145,N14186
C5,IAD,RIC,2019-06-01 09:39:00,2019-06-01,09:39:00,B2,RIC,IAD,2019-06-01 10:45:00,2019-06-01,10:45:00,ERJ-145,N14177
UA,ORD,RIC,2019-06-02 21:19:00,2019-06-02,21:19:00,B3,RIC,ORD,2019-06-03 08:00:00,2019-06-03,08:00:00,B737-800,N77296
UA,ORD,RIC,2019-06-01 21:19:00,2019-06-01,21:19:00,B3,RIC,ORD,2019-06-02 08:00:00,2019-06-02,08:00:00,B737-800,N14230
YV,IAD,RIC,2019-06-01 22:58:00,2019-06-01,22:58:00,B4,RIC,IAD,2019-06-02 06:45:00,2019-06-02,06:45:00,ERJ-175,N85340
EV,ORD,RIC,2019-06-02 00:25:00,2019-06-02,00:25:00,B2,RIC,EWR,2019-06-02 09:20:00,2019-06-02,09:20:00,ERJ-145,N16571
OO,DEN,RIC,2019-06-01 23:19:00,2019-06-01,23:19:00,B1,RIC,DEN,2019-06-02 06:25:00,2019-06-02,06:25:00,ERJ-175,N131SY
EV,EWR,RIC,2019-06-01 19:49:00,2019-06-01,19:49:00,B2,RIC,ORD,2019-06-02 17:15:00,2019-06-02,17:15:00,ERJ-145,N12166
UA,IAD,RIC,2019-05-31 21:19:00,2019-05-31,21:19:00,B3,RIC,ORD,2019-06-01 08:00:00,2019-06-01,08:00:00,B737-800,N37252
EV,EWR,RIC,2019-06-01 09:36:00,2019-06-01,09:36:00,B4,RIC,EWR,2019-06-01 10:15:00,2019-06-01,10:15:00,ERJ-145,N14977
ZW,IAD,RIC,2019-06-03 09:39:00,2019-06-03,09:39:00,B3,RIC,IAD,2019-06-03 10:45:00,2019-06-03,10:45:00,CRJ-200,N464AW
OO,DEN,RIC,2019-06-01 14:04:00,2019-06-01,14:04:00,B3,RIC,DEN,2019-06-01 15:15:00,2019-06-01,15:15:00,ERJ-175,N136SY
C5,IAD,RIC,2019-06-02 18:09:00,2019-06-02,18:09:00,B2,RIC,EWR,2019-06-02 18:50:00,2019-06-02,18:50:00,ERJ-145,N14162
YX,EWR,RIC,2019-06-02 12:15:00,2019-06-02,12:15:00,B3,RIC,ORD,2019-06-02 13:00:00,2019-06-02,13:00:00,ERJ-175,N727YX
YV,IAH,RIC,2019-06-01 22:22:00,2019-06-01,22:22:00,B7,RIC,IAH,2019-06-02 06:05:00,2019-06-02,06:05:00,ERJ-175,N84307
OO,ORD,RIC,2019-06-01 09:50:00,2019-06-01,09:50:00,B3,RIC,ORD,2019-06-01 10:30:00,2019-06-01,10:30:00,CRJ-200,N906EV
